customer_id,first_name,last_name,email,age,gender,city,state,registration_date,customer_segment,first_purchase,last_purchase,total_transactions,total_spent,avg_order_value,days_since_last_purchase,is_churned
24,Eric,Tyler,kevintran@example.org,18,F,East Erica,VT,2023-07-16,Regular,2022-04-23,2024-09-30,14,665.05,47.5,322,0
25,Susan,Parker,jenny20@example.org,28,M,Shelbyshire,NC,2023-12-01,Budget,2022-02-25,2024-10-15,7,405.21,57.89,307,0
26,Matthew,Hunter,dsantos@example.org,36,M,Susanchester,NV,2024-03-06,Regular,2022-07-17,2024-08-16,14,940.92,67.21,367,1
27,Christopher,Nguyen,porterarthur@example.com,21,M,Anthonychester,NY,2025-01-30,Budget,2022-12-13,2024-11-03,8,486.1,60.76,288,1
28,Colin,Smith,fevans@example.org,39,M,Lake Angelamouth,SD,2024-02-09,Regular,2022-05-03,2024-05-26,9,176.55,19.62,449,0
29,Melanie,Jennings,melissa67@example.org,27,M,North Christopher,OR,2025-01-06,Regular,2022-03-13,2024-06-13,12,591.05,49.25,431,0
30,Cassandra,Peterson,ccruz@example.org,31,F,East Michelebury,MN,2023-05-20,Regular,2022-04-16,2024-09-30,10,622.62,62.26,322,0
31,Lindsay,Ramsey,nicolaskeller@example.net,27,M,Lake Davidhaven,WY,2025-05-06,Regular,2022-02-05,2024-10-26,6,175.67,29.28,296,0
32,Jessica,Gilbert,guerreroanthony@example.com,57,M,Davisfurt,RI,2025-04-11,Budget,2022-05-19,2024-07-21,18,815.89,45.33,393,0
33,Amanda,Johnson,kentkaren@example.com,34,F,New Jeffrey,CO,2024-03-10,Regular,2022-09-04,2024-11-14,11,321.95,29.27,277,0
34,Teresa,Thompson,lisa93@example.org,22,F,Rogerton,VA,2024-04-27,Budget,2022-11-23,2024-10-31,10,486.0,48.6,291,1
35,Nicholas,Rivera,jessica96@example.com,44,F,Patriciaside,MH,2024-02-13,Budget,2022-04-18,2024-05-07,12,487.79,40.65,468,0
36,Andrea,Morgan,aguirreangela@example.net,20,M,North Ambertown,AS,2024-04-26,Regular,2022-05-25,2024-06-02,10,574.41,57.44,442,0
37,Maria,Chambers,michele87@example.com,37,F,West Loriborough,RI,2023-04-22,Budget,2022-04-02,2023-12-24,8,598.06,74.76,603,0
38,Christine,Hendricks,francisco67@example.net,18,F,Ramirezborough,AK,2022-11-25,Regular,2022-01-03,2024-12-24,14,960.73,68.62,237,0
39,Michelle,Robles,davidsmith@example.net,19,M,Richardtown,MA,2025-02-04,Budget,2022-03-18,2024-06-23,17,1023.3,60.19,421,1
40,Barbara,Brewer,christopher38@example.com,37,M,Lake Diana,IA,2023-05-10,Regular,2023-01-09,2024-12-02,5,293.63,58.73,259,1
41,Janet,Olson,ashley09@example.com,43,F,Martinmouth,WV,2025-03-03,Regular,2022-01-17,2024-06-30,6,296.74,49.46,414,0
42,Brandon,Burton,joseph49@example.org,37,F,West Sarastad,AZ,2024-01-06,Regular,2022-01-07,2024-11-08,10,676.59,67.66,283,1
43,Jeremy,Mcclain,parkerdonna@example.com,33,F,Kellerstad,OR,2025-03-04,Regular,2022-01-04,2024-10-21,11,671.92,61.08,301,0
44,Keith,Herrera,scottsmith@example.org,31,F,Terryshire,SC,2022-10-08,Regular,2022-06-23,2024-12-24,8,224.01,28.0,237,1
45,Christopher,Rogers,wjohnson@example.com,18,F,Michaelfort,WA,2025-02-09,Regular,2022-03-04,2024-12-05,7,230.67,32.95,256,1
46,Jesse,Bowers,rickyriley@example.org,26,F,Ashleyshire,KY,2025-01-14,Budget,2022-04-30,2024-10-26,7,283.74,40.53,296,0
47,Craig,Gutierrez,penny85@example.org,29,M,Theresatown,MA,2023-12-03,Regular,2022-05-05,2024-11-08,14,663.25,47.38,283,1
48,Joshua,Newton,xwhite@example.com,47,M,Mariobury,OH,2023-11-22,Regular,2022-01-14,2024-12-07,13,1029.45,79.19,254,1
49,Cynthia,Conley,misty23@example.net,39,M,Andersonland,NJ,2022-12-12,Regular,2022-04-20,2024-06-25,7,1089.25,155.61,419,0
50,Michael,Evans,dylanwilliamson@example.org,18,F,Wilsonhaven,MN,2023-11-24,Regular,2022-01-07,2024-10-28,12,303.68,25.31,294,1
51,Mitchell,Hardy,dannyjohnson@example.net,38,F,Nancyport,OK,2024-09-30,Premium,2022-04-27,2024-11-14,17,846.56,49.8,277,0
52,Jason,Stewart,criley@example.net,30,F,New Jeffreystad,MI,2024-03-06,Budget,2022-07-14,2024-12-22,5,301.94,60.39,239,0
53,Joseph,Herrera,bruceklein@example.com,26,M,Lake Lawrence,AR,2023-07-07,Budget,2022-05-13,2024-10-11,9,893.08,99.23,311,0
54,Sharon,Clark,allen58@example.net,42,F,Douglaston,NY,2024-06-29,Regular,2022-03-07,2024-02-12,11,718.93,65.36,553,0
55,Deborah,Jennings,burkemichael@example.org,47,M,Shannonhaven,UT,2024-06-12,Premium,2022-10-17,2024-11-16,12,424.56,35.38,275,0
56,Chelsea,Marsh,ewilson@example.org,46,M,Port Katherine,HI,2023-06-18,Regular,2022-04-05,2024-10-27,11,294.02,26.73,295,1
57,George,Barron,markwatson@example.net,24,F,Santosville,MI,2024-07-19,Regular,2022-01-03,2024-12-14,9,328.33,36.48,247,1
58,Jessica,Gomez,bjones@example.com,31,F,New Crystalburgh,AS,2024-12-28,Regular,2022-03-10,2024-05-18,9,393.44,43.72,457,0
59,Frank,Montes,angellawson@example.com,38,F,West Marilynstad,PW,2023-05-17,Budget,2022-04-10,2024-07-07,7,195.42,27.92,407,0
60,Noah,Ramirez,theresa57@example.com,46,M,Phillipsport,NJ,2024-02-10,Regular,2022-11-17,2024-11-20,6,413.58,68.93,271,1
61,Veronica,Johnson,martinbradley@example.org,29,F,Eduardoborough,DC,2024-05-27,Budget,2022-04-30,2024-04-21,10,718.91,71.89,484,1
62,Danielle,Terrell,rodriguezjason@example.com,32,M,Port Lindsayberg,IN,2023-11-14,Regular,2022-07-09,2024-11-01,17,862.98,50.76,290,0
63,Angela,Sims,shelby69@example.org,21,M,Mccoyview,HI,2024-10-15,Regular,2022-04-27,2024-12-01,10,460.71,46.07,260,0
64,Gabrielle,Kirby,patrickcuevas@example.org,20,F,Harrishaven,WA,2024-02-18,Regular,2022-08-12,2024-11-22,10,563.11,56.31,269,0
65,Megan,Duncan,benjaminvictoria@example.net,44,F,West Stephanie,UT,2024-12-09,Premium,2022-05-19,2024-10-03,6,189.04,31.51,319,0
66,Kimberly,Price,hryan@example.net,51,F,Port Jessica,TX,2024-06-13,Regular,2022-02-21,2024-10-29,9,210.59,23.4,293,1
67,Jeremy,Larson,lawsondonna@example.net,34,M,East Jennifer,ID,2023-12-15,Budget,2022-02-08,2024-09-02,8,437.72,54.72,350,0
68,Antonio,Hancock,mstewart@example.net,47,F,Port Garyport,AL,2024-09-29,Regular,2022-03-18,2024-03-22,10,376.9,37.69,514,0
69,Leslie,Walton,rhonda53@example.com,39,M,Alecburgh,AL,2024-06-26,Budget,2022-01-13,2024-11-07,12,644.66,53.72,284,0
70,Joseph,Thornton,stephengoodman@example.org,27,F,Port Samuel,NJ,2024-05-27,Regular,2022-01-04,2024-12-04,13,545.45,41.96,257,1
71,Jason,Edwards,seanrosario@example.com,39,M,Dawntown,AL,2025-02-09,Regular,2022-05-04,2024-10-06,11,626.85,56.99,316,0
72,Sherri,Johnson,christopher88@example.org,53,M,Christopherland,OH,2024-02-25,Regular,2022-01-18,2023-12-26,5,272.75,54.55,601,1
73,Nancy,Gutierrez,denise93@example.com,34,F,West Jenniferburgh,MT,2025-06-14,Regular,2022-02-04,2024-11-13,15,731.49,48.77,278,0
74,Leonard,Crawford,ihall@example.net,53,F,Timothymouth,VI,2024-01-02,Regular,2022-02-09,2024-09-23,17,466.4,27.44,329,1
75,Diana,Young,kimberlyrussell@example.net,18,M,Lake Anthonyfort,FM,2025-07-04,Premium,2022-12-17,2024-10-04,3,115.76,38.59,318,0
76,Randall,Hayes,catherineflynn@example.com,44,M,Christopherbury,CA,2024-09-27,Regular,2022-02-25,2024-09-24,10,398.89,39.89,328,0
77,Robin,Sampson,david66@example.net,36,F,West Kevin,OH,2024-09-11,Premium,2022-07-10,2024-11-19,14,515.61,36.83,272,1
78,Stephen,Robinson,barbarachen@example.org,31,M,North Angelaland,NE,2022-08-24,Premium,2022-05-19,2024-09-23,10,536.33,53.63,329,0
79,Joseph,Turner,nancysmith@example.org,36,M,East Laurenbury,PA,2023-12-30,Regular,2022-04-01,2024-07-24,10,591.55,59.15,390,0
80,John,Rodriguez,jbaker@example.net,18,M,Lauriestad,GU,2023-02-16,Regular,2022-04-11,2024-12-21,7,248.9,35.56,240,0
81,Anna,Glover,inewton@example.org,32,M,Jonesborough,ME,2025-01-05,Budget,2022-01-28,2024-12-11,12,655.46,54.62,250,1
82,Jose,Strickland,kjohnson@example.org,39,F,Holtmouth,NY,2024-05-10,Regular,2022-10-27,2024-08-30,9,165.15,18.35,353,0
83,Brenda,Gentry,zacharymoreno@example.com,52,F,Payneland,GU,2024-03-07,Budget,2022-05-03,2024-10-10,9,197.69,21.97,312,0
84,Rachael,Wallace,zgomez@example.net,28,F,South John,ME,2022-11-07,Regular,2022-01-14,2024-11-28,15,1014.11,67.61,263,1
85,Reginald,Johnson,jenniferwilson@example.com,25,F,North Kayla,MO,2024-04-24,Regular,2022-02-09,2024-11-17,12,479.1,39.93,274,0
86,Jeffrey,Webb,mcknightbrandon@example.net,28,M,North Kerri,TX,2024-08-07,Regular,2022-01-16,2024-06-11,8,208.82,26.1,433,0
87,Whitney,Porter,stephanie67@example.net,45,M,Lake Jasminehaven,NH,2025-03-05,Budget,2023-02-09,2024-05-09,8,314.01,39.25,466,0
88,William,Lee,eroberts@example.net,38,M,East Benjaminport,LA,2025-02-05,Regular,2022-07-08,2024-12-01,4,125.48,31.37,260,0
89,Christopher,Mclean,jessicacummings@example.net,28,M,Annburgh,NH,2024-05-21,Budget,2022-01-21,2024-10-28,10,680.04,68.0,294,1
90,Brandon,Oconnor,hernandezalan@example.net,41,M,New Amyhaven,VA,2023-10-27,Regular,2022-05-05,2024-11-01,11,447.11,40.65,290,0
91,Daniel,Mills,emily76@example.com,36,F,New Noahchester,SC,2024-01-23,Premium,2022-02-02,2024-12-14,8,360.6,45.08,247,0
92,Courtney,Rowe,uthompson@example.net,46,F,Lisaburgh,WV,2022-11-29,Regular,2022-03-17,2024-12-25,13,558.77,42.98,236,1
93,Laura,Thomas,shirley13@example.com,26,M,North Makayla,MI,2023-01-19,Premium,2022-01-16,2024-11-04,13,391.12,30.09,287,0
94,Robert,Wiggins,kpeterson@example.net,31,F,Lake Barbarashire,GA,2024-03-21,Regular,2022-01-27,2024-10-19,8,404.64,50.58,303,1
95,Bryan,Short,ymitchell@example.com,30,F,New Ericborough,WA,2025-02-13,Regular,2022-04-02,2024-04-21,16,1087.96,68.0,484,0
96,Patrick,Hurley,stephaniewilliams@example.net,18,F,West Philip,RI,2025-05-10,Regular,2022-02-18,2024-12-19,20,844.67,42.23,242,1
97,Wendy,Rhodes,russellramirez@example.net,38,F,North Scott,CT,2022-08-26,Budget,2022-03-13,2024-02-18,5,194.4,38.88,547,0
98,Allison,Anderson,cory42@example.org,38,F,East Kathleen,KY,2023-12-17,Regular,2022-03-16,2024-12-29,11,666.17,60.56,232,0
99,Tasha,Hardy,joshua73@example.org,35,F,Burnsport,OH,2025-04-01,Budget,2022-02-06,2024-09-04,14,566.37,40.46,348,0
100,Michelle,Stevens,sheila49@example.org,32,F,South Christopherborough,IA,2023-03-19,Regular,2022-01-03,2024-11-09,11,359.24,32.66,282,0
101,Alexander,Reeves,elizabeththomas@example.org,18,F,New Dariushaven,WA,2024-01-14,Regular,2022-03-11,2024-11-08,10,476.78,47.68,283,0
102,Jennifer,Boyd,anthonyorr@example.net,29,M,Robertsmouth,MN,2024-05-20,Budget,2022-04-27,2024-09-12,15,586.6,39.11,340,0
103,Erin,Smith,adamwall@example.org,30,M,North Johnborough,SD,2024-10-07,Budget,2022-01-31,2024-10-12,9,357.32,39.7,310,0
104,Amanda,Randolph,james96@example.net,25,F,North Kathryn,MS,2024-07-26,Budget,2022-02-01,2024-10-23,11,692.1,62.92,299,0
105,Joseph,Mcdaniel,dmeyer@example.com,33,M,West Stephanie,VI,2022-08-22,Regular,2022-02-05,2024-10-16,12,550.38,45.86,306,1
106,Danielle,Wheeler,moransamantha@example.org,39,M,Brittanychester,MN,2023-12-13,Regular,2022-03-05,2024-06-06,11,370.79,33.71,438,0
107,Daniel,Miller,foneal@example.com,57,F,South Chasehaven,AZ,2023-05-02,Regular,2022-05-12,2024-02-10,6,148.39,24.73,555,0
108,Ryan,Owens,linvictoria@example.net,37,M,Carrillostad,OH,2024-06-07,Regular,2022-01-30,2024-07-14,7,329.2,47.03,400,0
109,Shawn,Williams,schmittlinda@example.net,38,F,Port Jennifermouth,SC,2023-09-29,Regular,2022-02-17,2024-08-28,10,264.37,26.44,355,0
110,Stephanie,Meyer,jessicamurphy@example.net,34,F,Karenberg,WI,2024-03-27,Budget,2022-03-10,2024-11-25,15,568.53,37.9,266,0
111,Nancy,Hopkins,joshua81@example.net,18,F,Jasminemouth,MS,2025-03-23,Budget,2022-03-19,2023-11-19,7,229.77,32.82,638,0
112,Jose,Edwards,patricia06@example.org,34,F,East Charles,OK,2024-10-01,Regular,2023-09-07,2024-11-24,4,127.22,31.8,267,0
113,Vincent,Lane,james80@example.net,35,M,Avilaborough,DC,2025-04-02,Premium,2022-03-28,2024-08-07,6,308.75,51.46,376,1
114,Guy,Collins,sanchezbrenda@example.org,64,F,South Anthonyborough,TN,2024-02-23,Budget,2022-01-19,2024-10-06,8,246.88,30.86,316,0
115,Rita,Mcclain,josephhernandez@example.org,32,F,Moyerhaven,MP,2022-10-29,Regular,2022-05-13,2024-08-15,8,363.62,45.45,368,0
116,Monica,Flores,mcampbell@example.net,38,F,North Deniseton,DC,2024-12-12,Regular,2022-01-11,2024-08-03,10,303.63,30.36,380,0
117,Kenneth,Lee,tapiamercedes@example.net,34,M,Kayleemouth,NH,2022-10-30,Premium,2022-03-18,2024-06-30,13,640.59,49.28,414,0
118,Danielle,Hill,aaronjones@example.net,20,M,East Kathleenshire,PR,2023-11-26,Regular,2022-01-18,2024-10-25,10,456.5,45.65,297,0
119,Chelsea,Flores,jenniferwilliams@example.net,48,F,Heathborough,VI,2025-07-22,Budget,2022-03-13,2024-10-01,16,495.5,30.97,321,0
120,Eric,Alexander,christina93@example.net,44,M,South Raymondmouth,TN,2024-04-26,Premium,2022-07-24,2024-05-15,7,530.46,75.78,460,0
121,Kathryn,Wilson,todd24@example.org,44,F,North Michaelview,AL,2024-05-11,Regular,2022-01-03,2024-10-21,8,210.24,26.28,301,0
122,Amber,Hernandez,elizabeth76@example.net,24,M,Sloanfurt,WA,2022-08-28,Regular,2022-10-18,2024-12-29,6,256.59,42.77,232,1
123,Kimberly,Hill,amy41@example.org,51,M,Parksbury,HI,2025-07-28,Budget,2022-05-23,2024-11-20,11,667.82,60.71,271,0
124,Alyssa,Smith,mccartypenny@example.com,18,M,Port John,MA,2025-04-19,Budget,2022-01-02,2024-06-06,5,123.26,24.65,438,0
125,Aaron,Dean,umontes@example.org,42,M,Brownfort,GU,2024-04-14,Regular,2022-02-18,2024-08-03,11,206.36,18.76,380,0
126,Mario,Palmer,dwilson@example.com,61,F,Lake Erinhaven,DC,2023-07-26,Premium,2022-03-20,2024-12-12,9,185.09,20.57,249,0
127,Andrew,Clark,baileyraymond@example.org,23,F,Port Anthonyfort,TX,2024-10-13,Regular,2022-02-02,2024-11-04,11,564.0,51.27,287,0
128,Sarah,Bell,flarsen@example.net,28,M,West Dianaside,TX,2025-08-15,Regular,2022-01-13,2024-09-21,12,616.07,51.34,331,0
129,Natasha,Flores,bmcdaniel@example.com,36,F,Gonzalezburgh,MN,2023-05-30,Regular,2022-04-15,2024-07-29,7,408.38,58.34,385,0
130,Marie,Thomas,william60@example.net,28,M,West Jason,AS,2024-10-09,Premium,2022-04-15,2024-11-03,5,144.83,28.97,288,0
131,Kyle,Bush,jose56@example.com,18,F,Port Karenmouth,AS,2024-03-16,Premium,2023-01-20,2024-05-26,5,202.38,40.48,449,1
132,Brian,Campbell,qcoleman@example.org,35,M,Carterside,SC,2022-10-06,Regular,2022-10-13,2024-11-24,10,349.21,34.92,267,0
133,Natalie,Sanchez,todd35@example.net,22,F,New Nancy,TN,2023-11-20,Regular,2022-03-16,2024-01-03,16,414.56,25.91,593,1
134,Stacey,Jones,parkerrobert@example.net,40,F,East Taylor,VT,2023-01-23,Budget,2022-01-06,2024-06-24,12,474.16,39.51,420,0
135,Christopher,Austin,amandachan@example.org,23,F,Port Beckyburgh,KS,2024-05-27,Premium,2022-07-30,2024-12-05,9,666.08,74.01,256,1
136,Todd,Morgan,david80@example.net,53,F,New Melissa,MH,2023-03-26,Regular,2022-03-18,2023-08-13,7,989.34,141.33,736,0
137,Chad,Wallace,langchristopher@example.net,25,F,Robinberg,SC,2024-08-08,Budget,2022-06-09,2024-11-22,7,217.04,31.01,269,0
138,Kathleen,Anderson,rhonda81@example.net,31,F,Andreamouth,CT,2024-01-13,Regular,2022-01-27,2024-06-07,4,72.32,18.08,437,1
139,Katie,Ruiz,stonemichael@example.org,44,F,Michaelville,WY,2022-08-18,Regular,2022-12-23,2024-11-13,10,482.62,48.26,278,0
140,David,Lowe,maryfoster@example.net,20,F,New Kayla,DE,2025-04-22,Regular,2023-01-01,2024-11-06,15,495.34,33.02,285,0
141,Thomas,Rodriguez,kellymartin@example.com,37,F,Harringtonborough,WA,2025-05-06,Regular,2022-08-21,2024-12-09,14,1104.75,78.91,252,1
142,Andrea,Brown,robert83@example.org,50,M,Aprilburgh,TN,2023-04-27,Regular,2022-03-19,2024-12-12,8,228.66,28.58,249,0
143,Joseph,Simmons,brucekari@example.net,18,F,South Tyler,AR,2022-09-29,Regular,2022-04-16,2024-11-14,14,494.58,35.33,277,0
144,Monique,White,masonlacey@example.org,37,M,New Jennifer,MH,2025-05-07,Budget,2022-03-23,2024-08-10,7,398.57,56.94,373,1
145,Rodney,Carlson,justinjohnson@example.net,38,F,South Natalie,WV,2025-03-29,Regular,2022-03-23,2024-04-21,8,319.48,39.94,484,0
146,Jason,Watkins,arthurbrady@example.com,44,F,East Stephanie,VI,2023-04-20,Regular,2022-03-02,2024-04-03,10,635.49,63.55,502,0
147,Amber,Huff,vanderson@example.com,20,F,North Jonathanbury,MN,2023-05-25,Regular,2022-03-03,2024-11-23,9,326.97,36.33,268,0
148,Jessica,Lyons,joneswilliam@example.net,19,M,Scottstad,MI,2024-01-19,Regular,2022-06-15,2024-12-13,14,524.28,37.45,248,0
149,James,Jensen,vsmith@example.net,41,M,Robertview,WA,2023-05-16,Regular,2022-01-15,2024-07-03,13,669.43,51.49,411,0
150,Larry,Edwards,codychapman@example.com,38,F,Rojasview,MT,2023-02-04,Regular,2022-03-13,2024-12-24,12,268.88,22.41,237,0
151,Wanda,Roth,marievillarreal@example.com,38,F,South Jerryland,HI,2023-05-31,Regular,2022-02-21,2024-04-11,8,305.43,38.18,494,1
152,Debra,Marquez,bhunt@example.com,39,M,North Richard,SD,2023-08-01,Regular,2022-06-15,2024-12-20,15,399.16,26.61,241,0
153,Samuel,Lambert,stephen14@example.net,26,M,South Masonburgh,ME,2025-01-05,Budget,2022-03-19,2024-03-29,7,314.51,44.93,507,0
154,Zachary,Ferguson,bbennett@example.org,37,F,Castilloton,CA,2022-09-06,Regular,2022-01-15,2024-12-05,13,707.22,54.4,256,0
155,David,Beltran,tammyhoffman@example.com,38,F,West Michaelport,FL,2023-05-16,Budget,2022-01-21,2024-12-24,13,402.7,30.98,237,1
156,Jeffrey,Campos,rebecca88@example.org,26,M,New Daleview,NE,2025-02-05,Regular,2022-03-28,2024-12-05,8,453.67,56.71,256,0
157,Matthew,Owens,fsmith@example.net,57,M,Laurenstad,TN,2025-06-26,Regular,2022-03-11,2024-09-07,9,229.97,25.55,345,1
158,Brianna,Anderson,wbean@example.net,40,M,Thompsonville,MT,2023-10-29,Budget,2022-01-05,2024-10-25,9,330.54,36.73,297,0
159,Jerry,Hess,chavezbecky@example.org,20,F,Jenniferfurt,NV,2023-10-04,Regular,2022-02-20,2024-11-14,8,187.25,23.41,277,0
160,Jeffrey,Gillespie,cwise@example.com,42,M,North Robertfurt,MT,2025-08-09,Regular,2022-01-05,2024-07-06,17,729.42,42.91,408,1
161,Chad,Mcdonald,phart@example.com,23,M,North Kurttown,MH,2024-04-02,Premium,2022-05-04,2024-10-14,11,1010.62,91.87,308,0
162,Crystal,Bryant,douglas11@example.net,44,M,South Charles,SD,2023-03-14,Regular,2023-02-23,2024-07-21,7,207.78,29.68,393,0
163,Jeremy,Cohen,jaredmcmahon@example.net,48,M,South Kaitlyn,NY,2024-09-21,Regular,2022-03-13,2024-11-21,9,289.43,32.16,270,0
164,Rebecca,Mckinney,christopherpowell@example.com,25,F,Port Marvinmouth,AK,2024-03-27,Budget,2022-03-27,2024-07-14,13,621.77,47.83,400,0
165,Michele,Marshall,briansnyder@example.com,46,M,Nicholasstad,WY,2023-08-31,Regular,2022-03-22,2024-07-04,11,295.46,26.86,410,0
166,Chad,Hall,joy20@example.com,39,M,Gregoryfurt,SD,2024-01-03,Budget,2022-03-27,2024-10-03,14,354.33,25.31,319,1
167,John,Walker,rsavage@example.net,44,M,South William,OK,2023-01-14,Regular,2022-02-06,2024-08-06,9,267.8,29.76,377,0
168,Elizabeth,Callahan,karinorton@example.net,57,M,Sarabury,GU,2023-11-17,Regular,2022-03-25,2024-12-27,9,242.75,26.97,234,0
169,Jason,Jensen,pedwards@example.org,32,M,Hayesview,KS,2024-10-20,Regular,2022-01-22,2024-10-17,18,700.49,38.92,305,0
170,David,Durham,steven78@example.net,25,F,East Kellyview,AR,2024-08-07,Budget,2022-07-19,2024-09-10,8,628.04,78.5,342,0
171,Selena,Myers,morseronald@example.org,24,F,Juanmouth,WA,2023-10-01,Budget,2022-01-26,2024-04-11,10,437.72,43.77,494,0
172,Ashley,Lyons,amartinez@example.org,25,F,Emilychester,MD,2025-02-19,Regular,2022-01-10,2024-12-26,8,384.96,48.12,235,0
173,Thomas,Ortega,martinsamuel@example.org,34,F,North Jerrytown,OK,2024-08-19,Regular,2022-03-14,2024-10-29,13,670.15,51.55,293,0
174,Kristen,Mccormick,mccluretyler@example.net,39,F,North Carolynchester,MO,2025-04-22,Regular,2022-01-08,2024-05-28,13,523.97,40.31,447,1
175,Lindsey,Khan,jtaylor@example.com,38,M,East Tyler,ME,2023-01-07,Premium,2022-06-29,2024-12-19,7,440.45,62.92,242,0
176,James,Chavez,hsmith@example.com,44,F,East Tanya,NJ,2023-12-20,Regular,2022-01-26,2024-09-26,9,230.61,25.62,326,0
177,Collin,Johnson,jennifer48@example.com,35,F,Marshfort,AZ,2025-06-24,Budget,2023-03-19,2024-09-12,10,491.69,49.17,340,0
178,Ryan,Alvarez,anne22@example.com,52,F,Gloriaville,IA,2023-01-16,Regular,2022-01-16,2024-12-23,8,201.99,25.25,238,0
179,Rodney,Bell,leahcrane@example.com,31,F,Manningborough,ID,2023-03-10,Regular,2022-02-22,2024-06-16,15,464.06,30.94,428,1
180,Stuart,Murray,thomas35@example.net,67,M,Yatesbury,NE,2025-06-28,Regular,2022-05-24,2024-12-30,14,633.93,45.28,231,1
181,Jessica,Jackson,frankespinoza@example.com,42,F,Dominiqueton,GU,2025-03-02,Regular,2022-11-03,2024-07-01,12,709.51,59.13,413,1
182,Emily,Tate,stewartharold@example.com,24,F,Marymouth,KY,2024-01-10,Premium,2022-03-14,2024-05-07,5,370.44,74.09,468,1
183,Tracey,Munoz,holderadam@example.net,22,F,Port Brendaview,GA,2023-10-20,Regular,2022-08-21,2024-03-10,6,276.98,46.16,526,0
184,Corey,Anderson,jamesdavis@example.com,40,M,Port Jennifershire,MP,2024-03-14,Budget,2022-01-02,2024-09-25,10,211.82,21.18,327,0
185,Richard,Garcia,cody97@example.net,32,M,South Feliciastad,LA,2025-01-04,Regular,2022-01-12,2024-09-19,11,694.99,63.18,333,0
186,Matthew,Roth,carlfields@example.org,43,M,New Danielborough,MP,2025-03-04,Premium,2022-10-06,2024-12-03,10,306.37,30.64,258,0
